iter	Passed	Remaining
773	2083	608
774	2085	605
775	2089	603
776	2092	600
777	2095	597
778	2097	595
779	2099	592
780	2101	589
781	2104	586
782	2107	584
783	2109	581
784	2112	578
785	2114	575
786	2117	573
787	2120	570
788	2123	567
789	2125	565
790	2128	562
791	2130	559
792	2133	556
793	2135	554
794	2138	551
795	2141	548
796	2143	545
797	2145	543
798	2149	540
799	2152	538
800	2155	535
801	2158	532
802	2160	530
803	2163	527
804	2167	524
805	2170	522
806	2173	519
807	2175	517
808	2179	514
809	2183	512
810	2186	509
811	2189	506
812	2192	504
813	2195	501
814	2198	499
815	2200	496
816	2203	493
817	2205	490
818	2208	488
819	2211	485
820	2214	482
821	2217	480
822	2219	477
823	2221	474
824	2224	471
825	2226	469
826	2229	466
827	2231	463
828	2234	460
829	2236	458
830	2239	455
831	2242	452
832	2244	450
833	2247	447
834	2249	444
835	2252	441
836	2254	439
837	2256	436
838	2259	433
839	2261	430
840	2264	428
841	2266	425
842	2269	422
843	2271	419
844	2274	417
845	2277	414
846	2279	411
847	2282	409
848	2285	406
849	2287	403
850	2290	400
851	2292	398
852	2295	395
853	2298	393
854	2301	390
855	2304	387
856	2306	384
857	2309	382
858	2312	379
859	2315	376
860	2317	374
861	2320	371
862	2325	369
863	2328	366
864	2331	363
865	2333	361
866	2336	358
867	2338	355
868	2341	352
869	2343	350
870	2345	347
871	2348	344
872	2350	341
873	2352	339
874	2355	336
875	2358	333
876	2361	331
877	2363	328
878	2366	325
879	2368	322
880	2371	320
881	2374	317
882	2376	314
883	2379	312
884	2381	309
885	2383	306
886	2387	304
887	2390	301
888	2392	298
889	2395	296
890	2397	293
891	2399	290
892	2403	287
893	2406	285
894	2409	282
895	2411	279
896	2413	277
897	2416	274
898	2418	271
899	2421	269
900	2423	266
901	2425	263
902	2428	260
903	2430	258
904	2433	255
905	2435	252
906	2437	249
907	2440	247
908	2442	244
909	2445	241
910	2448	239
911	2451	236
912	2453	233
913	2456	231
914	2458	228
915	2460	225
916	2463	222
917	2465	220
918	2467	217
919	2470	214
920	2472	212
921	2475	209
922	2478	206
923	2481	204
924	2484	201
925	2486	198
926	2489	196
927	2491	193
928	2494	190
929	2496	187
930	2499	185
931	2501	182
932	2503	179
933	2507	177
934	2510	174
935	2513	171
936	2515	169
937	2518	166
938	2521	163
939	2524	161
940	2527	158
941	2530	155
942	2533	153
943	2535	150
944	2537	147
945	2540	144
946	2543	142
947	2546	139
948	2549	136
949	2551	134
950	2553	131
951	2556	128
952	2558	126
953	2561	123
954	2563	120
955	2566	118
956	2569	115
957	2571	112
958	2574	110
959	2576	107
960	2579	104
961	2581	101
962	2584	99
963	2586	96
964	2588	93
965	2591	91
966	2594	88
967	2597	85
968	2600	83
969	2602	80
970	2604	77
971	2607	75
972	2609	72
973	2611	69
974	2614	67
975	2616	64
976	2619	61
977	2622	58
978	2624	56
979	2627	53
980	2629	50
981	2632	48
982	2634	45
983	2637	42
984	2639	40
985	2642	37
986	2644	34
987	2647	32
988	2649	29
989	2652	26
990	2655	24
991	2657	21
992	2659	18
993	2662	16
994	2664	13
995	2667	10
996	2669	8
997	2672	5
998	2674	2
999	2676	0
